op,costCon,avgCon,costUnion,avgUnion
883,8,9.522,0,4.014
884,32,9.548,0,4.009
885,20,9.559,0,4.005
886,20,9.571,0,4.000
887,20,9.583,0,3.995
888,20,9.595,0,3.991
889,24,9.611,0,3.987
890,32,9.636,0,3.982
891,10,9.636,0,3.978
892,20,9.648,0,3.973
893,26,9.666,0,3.969
894,12,9.669,0,3.964
895,36,9.698,0,3.960
896,22,9.712,0,3.955
897,22,9.726,0,3.951
898,34,9.753,0,3.947
899,22,9.766,0,3.942
900,20,9.778,0,3.938
