op,costCon,avgCon,costUnion,avgUnion
122,2,2.000,626,626.230
123,2,2.000,627,626.236
124,2,2.000,626,626.234
125,2,2.000,626,626.232
126,2,2.000,627,626.238
127,2,2.000,627,626.244
128,2,2.000,626,626.242
129,2,2.000,626,626.240
130,2,2.000,629,626.262
131,2,2.000,627,626.267
132,2,2.000,626,626.265
133,2,2.000,634,626.323
134,2,2.000,626,626.321
135,2,2.000,626,626.319
136,2,2.000,626,626.316
137,2,2.000,626,626.314
138,2,2.000,626,626.312
139,2,2.000,626,626.309
140,2,2.000,626,626.307
141,2,2.000,626,626.305
142,2,2.000,626,626.303
143,2,2.000,627,626.308
144,2,2.000,626,626.306
145,2,2.000,626,626.303
146,2,2.000,626,626.301
147,2,2.000,626,626.299
148,2,2.000,626,626.297
149,2,2.000,626,626.295
150,2,2.000,627,626.300
151,2,2.000,626,626.298
152,2,2.000,626,626.296
153,2,2.000,0,622.203
154,2,2.000,631,622.260
155,2,2.000,626,622.284
156,2,2.000,626,622.308
157,2,2.000,626,622.331
158,2,2.000,626,622.354
159,2,2.000,626,622.377
160,2,2.000,626,622.400
161,2,2.000,626,622.422
162,2,2.000,627,622.451
163,2,2.000,626,622.472
164,2,2.000,626,622.494
165,2,2.000,626,622.515
166,2,2.000,628,622.548
167,2,2.000,626,622.569
168,2,2.000,627,622.595
169,2,2.000,627,622.621
170,2,2.000,626,622.641
171,2,2.000,626,622.661
172,2,2.000,626,622.680
173,2,2.000,626,622.699
174,2,2.000,626,622.718
175,2,2.000,626,622.737
176,2,2.000,626,622.756
177,2,2.000,628,622.785
178,2,2.000,626,622.803
179,2,2.000,626,622.821
180,2,2.000,627,622.844
181,2,2.000,626,622.862
182,2,2.000,627,622.885
183,2,2.000,627,622.907
184,2,2.000,627,622.929
185,2,2.000,627,622.951
186,2,2.000,626,622.968
187,2,2.000,626,622.984
188,2,2.000,626,623.000
189,2,2.000,627,623.021
190,2,2.000,626,623.037
191,2,2.000,626,623.052
192,2,2.000,626,623.068
193,2,2.000,627,623.088
194,2,2.000,626,623.103
195,2,2.000,626,623.118
196,2,2.000,626,623.133
197,2,2.000,626,623.147
198,2,2.000,626,623.162
199,2,2.000,627,623.181
200,2,2.000,626,623.195
201,2,2.000,627,623.214
202,2,2.000,626,623.228
203,2,2.000,629,623.256
